INDEX	skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	___eol	str name__STR	
75	clay golem	3	2	2	3	18		4673	skillld75	skillld75	skillan75																	36	StrSkill3		usmc	256	74	Cgslow		dm34		34	StrSkill4				74	StrSkillAttackRatingFlatBonus		lvl*par8		13	StrSkill42		skill('Golem Mastery'.ln12) + (lvl*par7) * par1		74	ClayGolemAura		skill('Defiance'.par3) + ((blvl-1)/2 * skill('Defiance'.par4))		74	StrSkillDefense		100+lvl*skill('IronGolem'.par8)		74	StrSkillAttackRating		40 + skill('Golem Mastery'.ln56) + (lvl*par8)																	40	Sksyn	skillname75	2		76	StrFlatdplev	skillname79	pa11		18	skillname89																										0	skillname75	
76	iron maiden	1	3	2	1	20		4677	skillld76	skillld76	skillan76																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	74	StrSkill55		ln56																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																					0	skillname76	
77	terror	1	3	3	1	22		4681	skillld77	skillld77	skillan77																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																					0	skillname77	
78	bone wall	2	3	3	2	24		4685	skillld78	skillld78	skillan78																	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	par2	25																40	Sksyn	skillname78	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname88	par8																								0	skillname78	
79	golem mastery	3	3	1	3	26		4689	skillld79	skillld79	skillan79																	74	StrSkill89		dm34		74	StrSkillAttackRating		ln56		74	StrSkillLifePercent		lvl*par1																																																																															0	skillname79	
80	raise skeletal mage	3	3	3	3	28		4693	skillld80	skillld80	skillan80																	36	StrSkill3		usmc	256	36	StrSkill43a	StrSkill44a	(lvl < 4) ?lvl:min((2+lvl/3),14)		74	StrSkillDefense		(lvl+skill('Skeleton Mastery'.lvl))*par5		13	StrSkill42		(lvl < 4) ? 0 : (par2 * (lvl - 3))	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)											75	StrSkill7		lvl/2	(ps14*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	75	StrSkill6		(ps12*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	(ps13*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	75	StrSkill5		(ps12*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	(ps13*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	75	PoisonDamageCalcDesc		(ps12*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100	(ps13*(100+skill('Skeleton Mastery'.lvl)*skill('Raise Skeletal Mage'.pa11)+skill('Raise Skeleton'.blvl)*skill('Raise Skeletal Mage'.pa12)))/100						40	Sksyn	skillname80	2		76	Damplev	skillname69	pa11		76	Damplev	skillname70	pa12		18	skillname89																					0	skillname80	
81	confuse	1	4	1	1	30		4697	skillld81	skillld81	skillan81																	31	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256																																																										0	skillname81	
82	life tap	1	4	2	1	32		4701	skillld82	skillld82	skillan82																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	74	StrSkill79		ln56																																																						0	skillname82	
83	poison explosion	2	4	1	2	34		4705	skillld83	skillld83	skillan83	5												1				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht		74	StrSkillPiercingChance		pst1												36	StrSkill3		usmc	256	74	Convphy2psn		50		75	StrSkill120		clc1												40	Sksyn	skillname83	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname92	par8		77	ProjSynergy	skillname92	1	par5																		0	skillname83	
84	bone spear	2	4	2	2	36		4709	skillld84	skillld84	skillan84	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname84	2		76	Magdplev	skillname67	par8		76	Magdplev	skillname93	par8		76	Magdplev	skillname78	par8		76	Magdplev	skillname88	par8		75	EnergySynergy		1	1	76	Magdplev	skillnameskele	par9				0	skillname84	
85	bloodgolem	3	4	2	3	38		4713	skillld85	skillld85	skillan85																	36	StrSkill3		usmc	256	34	StrSkill4				74	StrSkill80		dm12		74	BloodMagicAura		min(ln91, 50)		74	ModitemHPaK		min(5+lvl,30)							74	StrSkillDefense		120+lvl*skill('IronGolem'.par8)		74	StrSkillAttackRating		60 + skill('Golem Mastery'.ln56)+lvl*skill('Clay Golem'.par8)		13	StrSkill42		skill('Golem Mastery'.ln12) + (lvl*par8)												40	Sksyn	skillname85	2		76	StrFlatdplev	skillname79	pa11		18	skillname89																										0	skillname85	
86	attract	1	5	1	1	40		4717	skillxld86	skillxld86	skillan86																	31	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																					0	skillname86	
87	decrepify	1	5	3	1	42		4721	skillld87	skillld87	skillan87																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25																					36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill89		par5		74	StrSkill106		par5		74	PhysDamageResist		par5		74	StrSkill38		par5																																							0	skillname87	
88	bone prison	2	5	3	2	44		4725	skillld88	skillld88	skillan88																	36	StrSkill3		max(usmc, 1)	256	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)																						36	StrSkillDurationSingular	StrSkill20	par2	25																					40	Sksyn	skillname88	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname78	par8																								0	skillname88	
89	summon resist	3	5	1	3	46		4729	skillld89	skillld89	skillan89																	74	StrSkill54		dm12																																																																																									0	skillname89	
90	irongolem	3	5	2	3	48		4733	skillld90	skillld90	skillan90																	74	StrSkillDefenseFlatBonus		lvl*par8		74	StrSkill55		ln12		18	StrSkill112																			36	StrSkill3		usmc	256	74	StrSkillDefense		140+lvl*par8		74	StrSkillAttackRating		80 + skill('Golem Mastery'.ln56)+lvl*skill('Clay Golem'.par8)		34	StrSkill4				13	StrSkill42		skill('Golem Mastery'.ln12) + (lvl*par7)		40	Sksyn	skillname90	2		76	StrFlatdplev	skillname79	pa11		18	skillname89																										0	skillname90	
91	lower resist	1	6	2	1	50		4737	skillld91	skillld91	skillan91																	36	StrSkillDurationSingular	StrSkill20	min(ln34,500)	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		-dm56																	36	StrSkill3		usmc	256																																																										0	skillname91	
92	poison nova	2	6	1	2	52		4741	skillld92	skillld92	skillan92	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																					40	Sksyn	skillname92	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname83	par8																								0	skillname92	
93	bone spirit	2	6	2	2	54		4745	skillld93	skillld93	skillan93	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname93	2		76	Magdplev	skillname67	par8		76	Magdplev	skillname78	par8		76	Magdplev	skillname84	par8		76	Magdplev	skillname88	par8		75	EnergySynergy		1	par7	76	Magdplev	skillnameskele	par9				0	skillname93	
94	firegolem	3	6	2	3	56		4749	skillld94	skillld94	skillan94																	36	StrSkill3		usmc	256	75	StrSkillGolemFireDamageRange		sklvl('FireGolemAura'.clc5.edmn)	sklvl('FireGolemAura'.clc5.edmx)	41	StrSkill5		edmn	edmx	74	StrSkill103		dm12												74	StrSkillDefense		200+lvl*skill('IronGolem'.par8)		74	StrSkillAttackRating		120 + skill('Golem Mastery'.ln56)+lvl*skill('Clay Golem'.par8)		13	StrSkill42		skill('Golem Mastery'.ln12) + (lvl*par7)												40	Sksyn	skillname94	2		76	StrSynGolemFireAura	skillname79	par8		18	skillname89																										0	skillname94	
95	revive	3	6	3	3	58		4753	skillld95	skillld95	skillan95																	74	StrSkillMonstersCount		lvl																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkillDamagePercent		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)		74	StrSkillLifePercent		par1 + skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)							40	Sksyn	skillname95	2		18	skillname69				18	skillname89																										0	skillname95	
96	sacrifice	1	1	1	1	0		4757	skillld96	skillld96	skillan96	7	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7											1				74	StrSkillDamagePercent		ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma																74	StrSkill47		max(par6, par5-lvl/par3)																						40	Sksyn	skillname96	2		76	Damplev	skillname124	par8		76	Damplev	skillname122	par7																								0	skillname96	
97	smite	1	1	3	1	2		4761	skillld97	skillld97	skillan97	10																36	StrSkillStunLengthSingular	StrSkill48	min(250,ln12)	25	74	StrSkillDamagePercent		ln34																						36	StrSkill3		usmc	256	18	StrSkillAlwaysHits																																																								0	skillname97	
98	might	2	1	1	2	4	11	4765	skillld98	skillld98	skillan98																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																																																																																				0	skillname98	
99	prayer	3	1	1	3	6	6	4769	skillld99	skillld99	skillan99																	36	StrSkill34		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillHealFlat		edmn																																																																															0	skillname99	
100	resist fire	3	1	3	3	8		4773	skillld100	skillld100	skillan100																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistFirePassive	StrSkillMaxResistFirePassive	(skill('Resist Fire'.blvl) < 1) ? 1 : skill('Resist Fire'.blvl)	2	74	StrSkillMaxResistFireActive		(skill('Resist Fire'.blvl) < 1) ? 1 : skill('Resist Fire'.blvl)		74	StrSkill51		dm34																																																																										0	skillname100	
101	holy bolt	1	2	2	1	10		4777	skillld101	skillld101	skillan101	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname101	2		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8																								0	skillname101	
102	holy fire	2	2	2	2	12		4781	skillld102	skillld102	skillan102	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	rng*3	3	75	StrSkill5		enma	exma*((100+par6)/100)	75	StrSkillFireDamageToYourAttack		edns*par5/256	edxs*par5/256																18	StrSkillProximityDamage																								40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8		76	Firedplev	skillname125	par7																								0	skillname102	
103	thorns	2	2	3	2	14	9	4785	skillld103	skillld103	skillan103	6																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	ModStr1v		enma		74	StrSkill55		ln34																																																																															0	skillname103	
104	defiance	3	2	2	3	16	7	4789	skillld104	skillld104	skillan104																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill21		ln34																																																																																				0	skillname104	
105	resist cold	3	2	3	3	18		4793	skillld105	skillld105	skillan105																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistColdPassive	StrSkillMaxResistColdPassive	(skill('Resist Cold'.blvl) < 1) ? 1 : skill('Resist Cold'.blvl)	2	74	StrSkillMaxResistColdActive		(skill('Resist Cold'.blvl) < 1) ? 1 : skill('Resist Cold'.blvl)		74	StrSkill52		dm34																																																																										0	skillname105	
106	zeal	1	3	1	1	20		4797	skillld106	skillld106	skillan106	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				74	StrSkillDamagePercent		((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		74	StrSkill22		toht		74	StrSkill11		min((par5 + lvl -1), par6)		75	StrSkillAddedFlatPhys		pnma	pxma											36	StrSkill3		usmc	256																					40	Sksyn	skillname106	2		76	Damplev	skillname96	par8																													0	skillname106	
107	charge	1	3	3	1	22		4801	skillld107	skillld107	skillan107	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				74	StrSkillDamagePercent		ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8		74	StrSkill22		toht							75	StrSkillAddedFlatPhys		pnma	pxma											36	StrSkill3		usmc	256																					40	Sksyn	skillname107	2		76	Damplev	skillname115	par8		76	Damplev	skillname98	par8																								0	skillname107	
108	blessed aim	2	3	1	2	24	8	4805	skillld108	skillld108	skillan108																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillAttackRatingPassive		(skill('Blessed Aim'.blvl) < 1) ? par8 : skill('Blessed Aim'.blvl) * par8		74	StrSkillAttackRatingActive		ln34																																																																															0	skillname108	
109	cleansing	3	3	1	3	38		4809	skillld109	skillld109	skillan109																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill74		dm34																						76	Healplev2	skillname99	skill('Prayer'.edmn)																						40	Sksyn	skillname109	2		18	skillname99																															0	skillname109	
110	resist lightning	3	3	3	3	28		4813	skillld110	skillld110	skillan110																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistLightningPassive	StrSkillMaxResistLightningPassive	(skill('Resist Lightning'.blvl) < 1) ? 1 : skill('Resist Lightning'.blvl)	2	74	StrSkillMaxResistLightningActive		(skill('Resist Lightning'.blvl) < 1) ? 1 : skill('Resist Lightning'.blvl)		74	StrSkill53		dm34																																																																										0	skillname110	
111	vengeance	1	4	1	1	40		4817	skillld111	skillld111	skillan111	11												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ln12		74	StrSkill22		toht		75	strModColdDamageRange		edmn	edmx	75	strModLightningDamageRange		1	edmx*2	75	strModFireDamageRange		edmn	edmx	36	StrSkillColdLengthSingular	StrSkill13	edln	25																					40	Sksyn	skillname111	2		76	ElemDampLev	skillname102	par7		76	ElemDampLev	skillname114	par7		76	ElemDampLev	skillname118	par7		76	ElemDampLev	skillname123	par8														0	skillname111	
112	blessed hammer	1	4	2	1	32		4821	skillld112	skillld112	skillan112	12																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																					74	StrSkillDamageToUndead		50																						40	Sksyn	skillname112	2		76	Magdplev	skillname108	par8		76	Magdplev	skillname115	par8																								0	skillname112	
113	concentration	2	4	1	2	34		4825	skillld113	skillld113	skillan113																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																						74	StrSkill76		par5																																																											0	skillname113	
114	holy freeze	2	4	2	2	36	10	4829	skillld114	skillld114	skillan114	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	rng*3	3	74	StrSkill77		dm34		75	StrSkill6		enma	exma*((100+par6)/100)	75	StrSkillColdDamageToYourAttack		edns*par5/256	edxs*par5/256											18	StrSkillProximityDamage																								40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8		76	Colddplev	skillname125	par7																								0	skillname114	
115	vigor	3	4	2	3	26		4833	skillld115	skillld115	skillan115																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill69		ln34		74	StrSkill102		ln34		74	StrSkill89		dm56																																																																										0	skillname115	
116	conversion	1	5	1	1	30		4837	skillld116	skillld116	skillan116	5												1				74	StrSkill99		dm34																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25																																																					0	skillname116	
117	holy shield	1	5	3	1	42		4841	skillld117	skillld117	skillan117																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill110		dm56		74	StrSkill21		ln34+skill('Defiance'.blvl)*par8		75	StrSkillSmiteDamage		pnma	pxma	74	strModMagicDamage		(skill('Sacrifice'.blvl) + skill('Zeal'.blvl)) * par7							36	StrSkill3		usmc	256																					40	Sksyn	skillname117	2		76	Defplev	skillname104	par8		76	FlatMagdplev	skillname96	par7		76	FlatMagdplev	skillname106	par7																			0	skillname117	
118	holy shock	2	5	2	2	44		4845	skillxld118	skillxld118	skillan118	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	rng*3	3	75	StrSkill7		enma	exma*((100+par6)/100)	75	strEskilllighttoattack		edns/256	edxs*par5/256																18	StrSkillProximityDamage																								40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8		76	Ltngdplev	skillname125	par7																								0	skillname118	
119	sanctuary	2	5	3	2	46		4849	skillld119	skillld119	skillan119	25	0	par7														36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill39		enma	exma*((100+par7)/100)	74	StrSkillDamageToUndead		ln34		74	MagDamageResist		-ln91												18	StrSkillProximityDamage																								40	Sksyn	skillname119	2		76	Magdplev	skillname109	par8																													0	skillname119	
120	meditation	3	5	1	3	48		4853	skillld120	skillld120	skillan120																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill88		ln34																						76	Healplev2	skillname99	skill('Prayer'.edmn)																						40	Sksyn	skillname120	2		18	skillname99																															0	skillname120	
121	fist of the heavens	1	6	2	1	50		4857	skillld121	skillld121	skillan121	5													fistoftheheavensbolt			75	StrSkill91		m1en	m1ex	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	8	25																40	Sksyn	skillname121	2		76	Hbdplev	skillname101	20		76	Ltngdplev	skillname118	par8																								0	skillname121	
122	fanaticism	2	6	1	2	52		4861	skillxld122	skillxld122	skillan122																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill106		dm34		74	PartDam		ln56/2		74	FanYDam		ln56		74	StrSkill22		toht																																																																					0	skillname122	
123	conviction	2	6	3	2	56		4865	skillld123	skillld123	skillan123																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		-min(ln34,150)		74	StrSkill21		-dm56																																																																															0	skillname123	
124	redemption	3	6	2	3	54		4869	skillxld124	skillxld124	skillan124																	74	StrSkill107		ln56		74	StrSkill109		dm34																						36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																										0	skillname124	
125	salvation	3	6	3	3	58		4873	skillld125	skillld125	skillan125																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		dm34																																																																																				0	skillname125	
126	bash	1	1	2	1	0	22	4877	skillld126	skillld126	skillan126	7	clc1	ln34										1				74	StrSkillDamageFlat		ln34		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma											36	StrSkill3		usmc	256																					40	Sksyn	skillname126	2		76	Damplev	skillname139	par8		76	AttRateplev	skillname144	par7																								0	skillname126	
127	melee mastery	2	1	1	2	2		4881	skillld127	skillld127	skillan127																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																															0	skillname127	
128	shield mastery	2	3	1	2	30		4885	skillld128	skillld128	skillan128																	74	StrSkill110		dm12		74	ModStr4y		dm34																																																																																				0	skillname128	
129	deadly treasures	3	5	3	3	48		4889	skillld129	skillld129	skillan129																	74	ModStr1w		pst1		74	ModStr1x		pst2																																																																																				0	skillname129	
130	howl	3	1	1	3	8		4893	skillld130	skillld130	skillan130	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256																					40	Sksyn	skillname130	2		76	Damplev	BarbWarCrySynergies	par8																													0	skillname130	
131	find potion	3	1	3	3	10		4897	skillld131	skillld131	skillan131																	74	StrSkill24		dm12																											36	StrSkill3		usmc	256																																																										0	skillname131	
132	leap	1	2	1	1	12		4901	skillld132	skillld132	skillan132																	36	StrSkillKnockbackRadius	StrSkillKnockbackRadius	ln34*2	3	36	StrSkillRangeRadius	StrSkillRangeRadius	dm12*2	3	74	StrLeapSpeedTotal		clc2																	36	StrSkill3		usmc	256																					40	Sksyn	skillname132	2		76	StrLeapSpeed	skillname132	par8																													0	skillname132	
133	double swing	1	1	3	1	14		4905	skillld133	skillld133	skillan133	19	clc1											2				36	StrSkill3		max(usmc, 1)	256	74	StrSkill22		toht							75	StrSkillAddedFlatPhys		pnma	pxma											74	StrSkillDamagePercent		clc1																						40	Sksyn	skillname133	2		76	Damplev	skillname140	par8		76	Damplev	skillname147	par8																								0	skillname133	
134	unstoppable force	2	1	3	2	16		4909	skillld134	skillld134	skillan134	13																36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1																						18	StrSkillAlwaysHits																								40	Sksyn	skillname134	2		76	Damplev	skillname136	par8		76	Damplev	skillname141	par8		76	Damplev	skillname150	par8																			0	skillname134	
135	throwing mastery	2	1	2	2	18		4913	skillld135	skillld135	skillan135																	18	StrSkillReplenishOnCrit				74	StrSkillNoConsumeChance		manc		74	StrSkillPiercingChance		mapi		74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																0	skillname135	
136	winters gambit	2	3	3	2	20		4917	skillld136	skillld136	skillan136	21												1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageToYourAttack		enma	exma	74	StrSkill22		toht		74	StrSkill120		clc1							74	WeapDamsk		96*100/128																						40	Sksyn	skillname136	2		76	ElemDampLev	skillname134	par8		76	ElemDampLev	skillname141	par8		76	ElemDampLev	skillname150	par8																			0	skillname136	
137	taunt	3	2	1	3	22	28	4921	skillld137	skillld137	skillan137																	74	StrSkill38		ln34		74	StrSkill57		ln12																						36	StrSkill3		usmc	256																																																										0	skillname137	
138	shout	3	2	2	3	24		4925	skillld138	skillld138	skillan138																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ln12		36	StrSkillRadiusSingular	StrSkill18	19*2	3																36	StrSkill3		usmc	256																					40	Sksyn	skillname138	2		76	Secplev2	BarbWarCrySynergies	par8/25																													0	skillname138	
139	stun	1	3	2	1	26	23	4929	skillld139	skillld139	skillan139	7	clc5											1				74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma	74	StrSkillDamagePercent		clc5																	36	StrSkill3		usmc	256																					40	Sksyn	skillname139	2		76	Damplev	skillname126	par8																													0	skillname139	
140	double throw	1	3	3	1	28		4933	skillld140	skillld140	skillan140	13												2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma																36	StrSkill3		usmc*2	256																					40	Sksyn	skillname140	2		76	Damplev	skillname133	par8																													0	skillname140	
141	chasm break	2	5	3	2	4		4937	skillld141	skillld141	skillan141	13												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																	36	StrSkillRadiusSingular	StrSkill18	10*2	3	74	WeapDamsk		96*100/128																	40	Sksyn	skillname141	2		76	Damplev	skillname134	par8		76	Damplev	skillname136	par8		76	Damplev	skillname150	par8																			0	skillname141	
142	find item	3	3	3	3	32		4941	skillld142	skillld142	skillan142																	74	StrSkill24		dm12+skill('Find Potion'.blvl)*par8																											36	StrSkill3		usmc	256																					40	Sksyn	skillname142	2		76	StrSkillSkillChancePerLevel	skillname131	par8																													0	skillname142	
143	leap attack	1	4	1	1	34		4945	skillld143	skillld143	skillan143	26	clc1											2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma	36	StrSkillRadiusSingular	StrSkill18	7*2	3	74	StrLeapSpeedTotal		clc2							36	StrSkill3		usmc	256																					40	Sksyn	skillname143	2		76	Damplev	skillname132	par8		76	StrLeapSpeed	skillname132	par9		76	Damplev	skillname151	par8																			0	skillname143	
144	concentrate	1	4	2	1	36		4949	skillsd144	skillld144	skillan144	7	clc5											1				74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma	74	StrSkillDamagePercent		clc5		74	StrSkill120		8												36	StrSkill3		usmc	256																					40	Sksyn	skillname144	2		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8																								0	skillname144	
145	iron skin	2	4	1	2	38	27	4953	skillld145	skillld145	skillan145																	74	StrSkill21		ln12																																																																																									0	skillname145	
146	battle cry	3	4	1	3	40	24	4957	skillld146	skillld146	skillan146																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	PhysDamageResist		ln34		74	StrSkill38		ln56		36	StrSkillRadiusSingular	StrSkill18	19*2	3											36	StrSkill3		usmc	256																																																										0	skillname146	
147	frenzy	1	5	3	1	42	26	4961	skillld147	skillld147	skillan147	19	clc1											2				75	StrSkillRunWalkRange		15*(par4-par3)/100+par3	dm34	75	StrSkillAttackSpeedRange		15*(par6-par5)/100+par5	dm56	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma						36	StrSkill3		usmc*2	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillMagicDamagePercent		clc4												40	Sksyn	skillname147	2		76	Damplev	skillname133	par8		76	Magdplev	skillname140	1		76	Secplev2_sub1sec	skillname147	(par9*10)/25																			0	skillname147	
148	increased speed	2	5	2	2	44		4965	skillld148	skillld148	skillan148																	74	StrSkill89		dm12																																																																																									0	skillname148	
