INDEX	Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	___ItemProbSum	___ItemProbTotal	___TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	___eol	
Act 5 (H) Wraith A	Act 5 (H) Wraith A	10	81	1	0	0	0	0	50	Act 5 (H) Good	4	Potion 4	25	Void	4		0		0		0		0		0		0		0							0	
Act 5 (H) Wraith B	Act 5 (H) Wraith B	10	83	1	0	0	0	0	50	Act 5 (H) Good	4	Potion 4	25	Void	4		0		0		0		0		0		0		0							0	
Act 5 (H) Wraith C	Act 5 (H) Wraith C	10	85	1	0	0	0	0	50	Act 5 (H) Good	4	Potion 4	25	Void	4		0		0		0		0		0		0		0							0	
Quill 1	Quill 1	16	0	1	0	0	0	0	80	Potion 1	19	Gold 1x	6	Void	15		0		0		0		0		0		0		0							0	
Quill 2	Quill 2	16	4	1	0	0	0	0	80	Potion 1	19	Gold 1x	6	Void	15		0		0		0		0		0		0		0							0	
Quill 3	Quill 3	16	8	1	0	0	0	0	80	Act 1 Good	1	Potion 1	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 4	Quill 4	16	12	1	0	0	0	0	80	Act 1 Good	1	Potion 1	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 5	Quill 5	16	20	1	0	0	0	0	80	Act 3 Good	1	Potion 1	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 1 (N)	Quill 1 (N)	16	32	1	0	0	0	0	80	Potion 2	19	Gold 1x	6	Void	15		0		0		0		0		0		0		0							0	
Quill 2 (N)	Quill 2 (N)	16	35	1	0	0	0	0	80	Act 1 (N) Good	1	Potion 2	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 3 (N)	Quill 3 (N)	16	38	1	0	0	0	0	80	Act 1 (N) Good	1	Potion 2	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 4 (N)	Quill 4 (N)	16	40	1	0	0	0	0	80	Act 1 (N) Good	1	Potion 2	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 5 (N)	Quill 5 (N)	16	46	1	0	0	0	0	80	Act 3 (N) Good	1	Potion 3	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 1 (H)	Quill 1 (H)	16	60	1	0	0	0	0	80	Potion 4	6	Gold 1x	19	Void	15		0		0		0		0		0		0		0							0	
Quill 2 (H)	Quill 2 (H)	16	62	1	0	0	0	0	80	Act 1 (H) Good	1	Potion 4	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 3 (H)	Quill 3 (H)	16	65	1	0	0	0	0	80	Act 1 (H) Good	1	Potion 4	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 4 (H)	Quill 4 (H)	16	68	1	0	0	0	0	80	Act 1 (H) Good	1	Potion 4	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Quill 5 (H)	Quill 5 (H)	16	85	1	0	0	0	0	80	Act 1 (H) Good	1	Potion 4	6	Gold 1x	19	Void	15		0		0		0		0		0		0							0	
Swarm 1	Swarm 1	17	0	1	0	0	0	0	80	Act 2 Good	1	Potion 1	6	Void	15		0		0		0		0		0		0		0							0	
Swarm 2	Swarm 2	17	20	1	0	0	0	0	80	Act 3 Good	1	Potion 1	6	Void	15		0		0		0		0		0		0		0							0	
Swarm 1 (N)	Swarm 1 (N)	17	40	1	0	0	0	0	80	Act 2 (N) Good	1	Potion 2	6	Void	15		0		0		0		0		0		0		0							0	
Swarm 2 (N)	Swarm 2 (N)	17	46	1	0	0	0	0	80	Act 3 (N) Good	1	Potion 3	6	Void	15		0		0		0		0		0		0		0							0	
Swarm 1 (H)	Swarm 1 (H)	17	68	1	0	0	0	0	80	Act 2 (H) Good	1	Potion 4	6	Void	15		0		0		0		0		0		0		0							0	
Swarm 2 (H)	Swarm 2 (H)	17	74	1	0	0	0	0	80	Act 3 (H) Good	1	Potion 4	6	Void	15		0		0		0		0		0		0		0							0	
Flying Scimitar	Flying Scimitar	0	0	1	0	0	0	0	60	Act 2 Good	3	scm	57		0		0		0		0		0		0		0		0							0	
Flying Scimitar (N)	Flying Scimitar (N)	0	0	1	0	0	0	0	60	Act 2 (N) Good	3	scm	25	9sm	32		0		0		0		0		0		0		0							0	
Flying Scimitar (H)	Flying Scimitar (H)	0	0	1	0	0	0	0	60	Act 2 (H) Good	3	scm	7	9sm	18	7sm	32		0		0		0		0		0		0							0	
Cow	Cow	0	0	1	0	0	0	0	80	Act 5 Good	3	Act 5 Equip A	22	Gold 1x	12	Void	10		0		0		0		0		0		0							0	
Cow (N)	Cow (N)	0	0	1	0	0	0	0	78	Act 5 (N) Good	5	Act 5 (N) Equip A	22	Gold 1x	12	Void	12		0		0		0		0		0		0							0	
Cow (H)	Cow (H)	0	0	1	10	15	20	25	75	Act 5 (H) Good	7	Act 5 (H) Equip B	22	Gold 1x	12	Void	15		0		0		0		0		0		0							0	
Trapped Soul	Trapped Soul	0	0	1	0	0	0	0	60	Act 4 Equip A	8	Potion 2	33	Gold 1x	9		0		0		0		0		0		0		0							0	
Trapped Soul (N)	Trapped Soul (N)	0	0	1	0	0	0	0	60	Act 4 (N) Equip A	8	Potion 3	33	Gold 1x	9		0		0		0		0		0		0		0							0	
Trapped Soul (H)	Trapped Soul (H)	0	0	1	0	0	0	0	60	Act 4 (H) Equip A	8	Potion 4	33	Gold 1x	9		0		0		0		0		0		0		0							0	
Act 1 Citem A	Act 1 Citem A	11	0	1	800	800	800	1024	10	Act 1 Good	3	Act 1 Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 Citem B	Act 1 Citem B	11	5	1	800	800	800	1024	10	Act 1 Good	3	Act 1 Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 Citem C	Act 1 Citem C	11	9	1	800	800	800	1024	10	Act 1 Good	3	Act 1 Equip C	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 Citem A	Act 2 Citem A	11	12	1	800	800	800	1024	10	Act 2 Good	3	Act 2 Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 Citem B	Act 2 Citem B	11	15	1	800	800	800	1024	10	Act 2 Good	3	Act 2 Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 Citem C	Act 2 Citem C	11	18	1	800	800	800	1024	10	Act 3 Good	3	Act 2 Equip C	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 Citem A	Act 3 Citem A	11	20	1	800	800	800	1024	10	Act 3 Good	3	Act 3 Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 Citem B	Act 3 Citem B	11	22	1	800	800	800	1024	10	Act 3 Good	3	Act 3 Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 Citem C	Act 3 Citem C	11	24	1	800	800	800	1024	10	Act 3 Good	3	Act 3 Equip C	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 Citem A	Act 4 Citem A	11	26	1	800	800	800	1024	10	Act 4 Good	3	Act 4 Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 Citem B	Act 4 Citem B	11	29	1	800	800	800	1024	10	Act 4 Good	3	Act 4 Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 Citem A	Act 5 Citem A	11	32	1	800	800	800	1024	10	Act 5 Good	3	Act 5 Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 Citem B	Act 5 Citem B	11	34	1	800	800	800	1024	10	Act 5 Good	3	Act 5 Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 Citem C	Act 5 Citem C	11	36	1	800	800	800	1024	10	Act 5 Good	3	Act 5 Equip C	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (N) Citem A	Act 1 (N) Citem A	11	38	1	800	800	800	1024	10	Act 1 (N) Good	3	Act 1 (N) Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (N) Citem B	Act 1 (N) Citem B	11	40	1	800	800	800	1024	10	Act 1 (N) Good	3	Act 1 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (N) Citem C	Act 1 (N) Citem C	11	41	1	800	800	800	1024	10	Act 1 (N) Good	3	Act 1 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (N) Citem A	Act 2 (N) Citem A	11	42	1	800	800	800	1024	10	Act 2 (N) Good	3	Act 2 (N) Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (N) Citem B	Act 2 (N) Citem B	11	44	1	800	800	800	1024	10	Act 2 (N) Good	3	Act 2 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (N) Citem C	Act 2 (N) Citem C	11	45	1	800	800	800	1024	10	Act 2 (N) Good	3	Act 2 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (N) Citem A	Act 3 (N) Citem A	11	46	1	800	800	800	1024	10	Act 3 (N) Good	3	Act 3 (N) Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (N) Citem B	Act 3 (N) Citem B	11	48	1	800	800	800	1024	10	Act 3 (N) Good	3	Act 3 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (N) Citem C	Act 3 (N) Citem C	11	50	1	800	800	800	1024	10	Act 3 (N) Good	3	Act 3 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 (N) Citem A	Act 4 (N) Citem A	11	51	1	800	800	800	1024	10	Act 4 (N) Good	3	Act 4 (N) Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 (N) Citem B	Act 4 (N) Citem B	11	54	1	800	800	800	1024	10	Act 4 (N) Good	3	Act 4 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (N) Citem A	Act 5 (N) Citem A	11	57	1	800	800	800	1024	10	Act 5 (N) Good	3	Act 5 (N) Equip A	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (N) Citem B	Act 5 (N) Citem B	11	60	1	800	800	800	1024	10	Act 5 (N) Good	3	Act 5 (N) Equip B	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (N) Citem C	Act 5 (N) Citem C	11	62	1	800	800	800	1024	10	Act 5 (N) Good	3	Act 5 (N) Equip C	37	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (H) Citem A	Act 1 (H) Citem A	11	63	1	800	800	800	1024	10	Act 1 (H) Good	5	Act 1 (H) Equip A	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (H) Citem B	Act 1 (H) Citem B	11	66	1	800	800	800	1024	10	Act 1 (H) Good	5	Act 1 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 (H) Citem C	Act 1 (H) Citem C	11	68	1	800	800	800	1024	10	Act 1 (H) Good	5	Act 1 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (H) Citem A	Act 2 (H) Citem A	11	69	1	800	800	800	1024	10	Act 2 (H) Good	5	Act 2 (H) Equip A	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (H) Citem B	Act 2 (H) Citem B	11	71	1	800	800	800	1024	10	Act 2 (H) Good	5	Act 2 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 2 (H) Citem C	Act 2 (H) Citem C	11	72	1	800	800	800	1024	10	Act 2 (H) Good	5	Act 2 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (H) Citem A	Act 3 (H) Citem A	11	74	1	800	800	800	1024	10	Act 3 (H) Good	5	Act 3 (H) Equip A	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (H) Citem B	Act 3 (H) Citem B	11	75	1	800	800	800	1024	10	Act 3 (H) Good	5	Act 3 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 3 (H) Citem C	Act 3 (H) Citem C	11	77	1	800	800	800	1024	10	Act 3 (H) Good	5	Act 3 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 (H) Citem A	Act 4 (H) Citem A	11	78	1	800	800	800	1024	10	Act 4 (H) Good	5	Act 4 (H) Equip A	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 4 (H) Citem B	Act 4 (H) Citem B	11	80	1	800	800	800	1024	10	Act 4 (H) Good	5	Act 4 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (H) Citem A	Act 5 (H) Citem A	11	81	1	800	800	800	1024	10	Act 5 (H) Good	5	Act 5 (H) Equip A	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (H) Citem B	Act 5 (H) Citem B	11	83	1	800	800	800	1024	10	Act 5 (H) Good	5	Act 5 (H) Equip B	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 5 (H) Citem C	Act 5 (H) Citem C	11	85	1	800	800	800	1024	10	Act 5 (H) Good	5	Act 5 (H) Equip C	35	Gold 1.5x	30	Void	15		0		0		0		0		0		0							0	
Act 1 Champ A	Act 1 Champ A	13	0	-2	0	0	0	0	10	Act 1 Citem A	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 Champ B	Act 1 Champ B	13	5	-2	0	0	0	0	10	Act 1 Citem B	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 Champ C	Act 1 Champ C	13	9	-2	0	0	0	0	10	Act 1 Citem C	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 Champ A	Act 2 Champ A	13	12	-2	0	0	0	0	10	Act 2 Citem A	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 Champ B	Act 2 Champ B	13	15	-2	0	0	0	0	10	Act 2 Citem B	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 Champ C	Act 2 Champ C	13	18	-2	0	0	0	0	10	Act 2 Citem C	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 Champ A	Act 3 Champ A	13	20	-2	0	0	0	0	10	Act 3 Citem A	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 Champ B	Act 3 Champ B	13	22	-2	0	0	0	0	10	Act 3 Citem B	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 Champ C	Act 3 Champ C	13	24	-2	0	0	0	0	10	Act 3 Citem C	1	Normal Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 Champ A	Act 4 Champ A	13	26	-2	0	0	0	0	10	Act 4 Citem A	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 Champ B	Act 4 Champ B	13	29	-2	0	0	0	0	10	Act 4 Citem B	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 Champ A	Act 5 Champ A	13	32	-2	0	0	0	0	10	Act 5 Citem A	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 Champ B	Act 5 Champ B	13	34	-2	0	0	0	0	10	Act 5 Citem B	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 Champ C	Act 5 Champ C	13	36	-2	0	0	0	0	10	Act 5 Citem C	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (N) Champ A	Act 1 (N) Champ A	13	38	-2	0	0	0	0	10	Act 1 (N) Citem A	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (N) Champ B	Act 1 (N) Champ B	13	40	-2	0	0	0	0	10	Act 1 (N) Citem B	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (N) Champ C	Act 1 (N) Champ C	13	41	-2	0	0	0	0	10	Act 1 (N) Citem C	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (N) Champ A	Act 2 (N) Champ A	13	42	-2	0	0	0	0	10	Act 2 (N) Citem A	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (N) Champ B	Act 2 (N) Champ B	13	44	-2	0	0	0	0	10	Act 2 (N) Citem B	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (N) Champ C	Act 2 (N) Champ C	13	45	-2	0	0	0	0	10	Act 2 (N) Citem C	1	Good Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (N) Champ A	Act 3 (N) Champ A	13	46	-2	0	0	0	0	10	Act 3 (N) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (N) Champ B	Act 3 (N) Champ B	13	48	-2	0	0	0	0	10	Act 3 (N) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (N) Champ C	Act 3 (N) Champ C	13	50	-2	0	0	0	0	10	Act 3 (N) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 (N) Champ A	Act 4 (N) Champ A	13	51	-2	0	0	0	0	10	Act 4 (N) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 (N) Champ B	Act 4 (N) Champ B	13	54	-2	0	0	0	0	10	Act 4 (N) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 (N) Champ C	Act 4 (N) Champ C	13	56	-2	0	0	0	0	10	Act 4 (N) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (N) Champ A	Act 5 (N) Champ A	13	57	-2	0	0	0	0	10	Act 5 (N) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (N) Champ B	Act 5 (N) Champ B	13	60	-2	0	0	0	0	10	Act 5 (N) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (N) Champ C	Act 5 (N) Champ C	13	62	-2	0	0	0	0	10	Act 5 (N) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (H) Champ A	Act 1 (H) Champ A	13	63	-2	0	0	0	0	10	Act 1 (H) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (H) Champ B	Act 1 (H) Champ B	13	66	-2	0	0	0	0	10	Act 1 (H) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 (H) Champ C	Act 1 (H) Champ C	13	68	-2	0	0	0	0	10	Act 1 (H) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (H) Champ A	Act 2 (H) Champ A	13	69	-2	0	0	0	0	10	Act 2 (H) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (H) Champ B	Act 2 (H) Champ B	13	71	-2	0	0	0	0	10	Act 2 (H) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 2 (H) Champ C	Act 2 (H) Champ C	13	72	-2	0	0	0	0	10	Act 2 (H) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (H) Champ A	Act 3 (H) Champ A	13	74	-2	0	0	0	0	10	Act 3 (H) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (H) Champ B	Act 3 (H) Champ B	13	75	-2	0	0	0	0	10	Act 3 (H) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 3 (H) Champ C	Act 3 (H) Champ C	13	77	-2	0	0	0	0	10	Act 3 (H) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 (H) Champ A	Act 4 (H) Champ A	13	78	-2	0	0	0	0	10	Act 4 (H) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 4 (H) Champ B	Act 4 (H) Champ B	13	80	-2	0	0	0	0	10	Act 4 (H) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (H) Champ A	Act 5 (H) Champ A	13	81	-2	0	0	0	0	10	Act 5 (H) Citem A	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (H) Champ B	Act 5 (H) Champ B	13	83	-2	0	0	0	0	10	Act 5 (H) Citem B	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 5 (H) Champ C	Act 5 (H) Champ C	13	85	-2	0	0	0	0	10	Act 5 (H) Citem C	1	Super Potion	1		0		0		0		0		0		0		0		0							0	
Act 1 Uitem A	Act 1 Uitem A	14	0	1	800	800	800	1024	10	Act 1 Good	4	Act 1 Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 Uitem B	Act 1 Uitem B	14	5	1	800	800	800	1024	10	Act 1 Good	4	Act 1 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 Uitem C	Act 1 Uitem C	14	9	1	800	800	800	1024	10	Act 1 Good	4	Act 1 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 Uitem A	Act 2 Uitem A	14	12	1	800	800	800	1024	10	Act 2 Good	4	Act 2 Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 Uitem B	Act 2 Uitem B	14	15	1	800	800	800	1024	10	Act 2 Good	4	Act 2 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 Uitem C	Act 2 Uitem C	14	18	1	800	800	800	1024	10	Act 3 Good	4	Act 2 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 Uitem A	Act 3 Uitem A	14	20	1	800	800	800	1024	10	Act 3 Good	4	Act 3 Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 Uitem B	Act 3 Uitem B	14	22	1	800	800	800	1024	10	Act 3 Good	4	Act 3 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 Uitem C	Act 3 Uitem C	14	24	1	800	800	800	1024	10	Act 3 Good	4	Act 3 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 Uitem A	Act 4 Uitem A	14	26	1	800	800	800	1024	10	Act 4 Good	4	Act 4 Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 Uitem B	Act 4 Uitem B	14	29	1	800	800	800	1024	10	Act 4 Good	4	Act 4 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 Uitem A	Act 5 Uitem A	14	32	1	800	800	800	1024	10	Act 5 Good	4	Act 5 Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 Uitem B	Act 5 Uitem B	14	34	1	800	800	800	1024	10	Act 5 Good	4	Act 5 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 Uitem C	Act 5 Uitem C	14	36	1	800	800	800	1024	10	Act 5 Good	4	Act 5 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 LT Item	Act 1 LT Item	14	9	1	800	800	800	1024	10	Act 1 Good	4	Act 1 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 LT Item	Act 2 LT Item	14	18	1	800	800	800	1024	10	Act 3 Good	4	Act 2 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 LT Item	Act 3 LT Item	14	24	1	800	800	800	1024	10	Act 3 Good	4	Act 3 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 LT Item	Act 4 LT Item	14	29	1	800	800	800	1024	10	Act 4 Good	4	Act 4 Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 LT Item	Act 5 LT Item	14	36	1	800	800	800	1024	10	Act 5 Good	4	Act 5 Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 (N) Uitem A	Act 1 (N) Uitem A	14	38	1	800	800	800	1024	10	Act 1 (N) Good	4	Act 1 (N) Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 (N) Uitem B	Act 1 (N) Uitem B	14	40	1	800	800	800	1024	10	Act 1 (N) Good	4	Act 1 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 (N) Uitem C	Act 1 (N) Uitem C	14	41	1	800	800	800	1024	10	Act 1 (N) Good	4	Act 1 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 (N) Uitem A	Act 2 (N) Uitem A	14	42	1	800	800	800	1024	10	Act 2 (N) Good	4	Act 2 (N) Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 (N) Uitem B	Act 2 (N) Uitem B	14	44	1	800	800	800	1024	10	Act 2 (N) Good	4	Act 2 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 (N) Uitem C	Act 2 (N) Uitem C	14	45	1	800	800	800	1024	10	Act 2 (N) Good	4	Act 2 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 (N) Uitem A	Act 3 (N) Uitem A	14	46	1	800	800	800	1024	10	Act 3 (N) Good	4	Act 3 (N) Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 (N) Uitem B	Act 3 (N) Uitem B	14	48	1	800	800	800	1024	10	Act 3 (N) Good	4	Act 3 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 (N) Uitem C	Act 3 (N) Uitem C	14	50	1	800	800	800	1024	10	Act 3 (N) Good	4	Act 3 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 (N) Uitem A	Act 4 (N) Uitem A	14	51	1	800	800	800	1024	10	Act 4 (N) Good	4	Act 4 (N) Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 (N) Uitem B	Act 4 (N) Uitem B	14	54	1	800	800	800	1024	10	Act 4 (N) Good	4	Act 4 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 (N) Uitem A	Act 5 (N) Uitem A	14	57	1	800	800	800	1024	10	Act 5 (N) Good	4	Act 5 (N) Equip A	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 (N) Uitem B	Act 5 (N) Uitem B	14	60	1	800	800	800	1024	10	Act 5 (N) Good	4	Act 5 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 (N) Uitem C	Act 5 (N) Uitem C	14	62	1	800	800	800	1024	10	Act 5 (N) Good	4	Act 5 (N) Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 (N) LT Item	Act 1 (N) LT Item	14	41	1	800	800	800	1024	10	Act 1 (N) Good	4	Act 1 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 2 (N) LT Item	Act 2 (N) LT Item	14	45	1	800	800	800	1024	10	Act 2 (N) Good	4	Act 2 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 3 (N) LT Item	Act 3 (N) LT Item	14	50	1	800	800	800	1024	10	Act 3 (N) Good	4	Act 3 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 4 (N) LT Item	Act 4 (N) LT Item	14	54	1	800	800	800	1024	10	Act 4 (N) Good	4	Act 4 (N) Equip B	43	Void	15		0		0		0		0		0		0		0							0	
Act 5 (N) LT Item	Act 5 (N) LT Item	14	62	1	800	800	800	1024	10	Act 5 (N) Good	4	Act 5 (N) Equip C	43	Void	15		0		0		0		0		0		0		0							0	
Act 1 (H) Uitem A	Act 1 (H) Uitem A	14	63	2	800	800	800	1024	10	Act 1 (H) Good	8	Act 1 (H) Equip A	39	Void	15		0		0		0		0		0		0		0							0	
