INDEX	Stat	___ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	___eol	1.09 - Save Bits	1.09 - Save Add	op stat1__STR	op stat2__STR	op stat3__STR	descstrpos__STR	descstrneg__STR	descstr2__STR	
151	item_aura	151		1								1							7	0	5	0	9		0	0	65535	0	0	0								159	16	0	10976	10976	5382								2	0	0	0	65535	65535	65535	ModitemAura	ModitemAura		
152	item_indesctructible	152		1	1														7	0	1	0	0		0	0	65535	0	0	0								160	19	0	21240	21240	5382									0	0	0	65535	65535	65535	ModStre9s	ModStre9s		
153	item_cannotbefrozen	153		1	2											15011	2048		1		1	0	0		0	0	65535	0	0	0								20	19	0	3600	3600	5382								2	0	0	0	65535	65535	65535	ModStr5z	ModStr5z		
154	item_staminadrainpct	154		1	7											102	20		7	20	7	20	0		0	0	65535	0	0	0			1					49	19	0	48038	48038	5382								2	0	0	0	65535	65535	65535	ModStr6e	ModStr6e		
155	item_reanimate	155			7	10						1							7	0	7	0	10		0	0	65535	0	0	0			1	kill	31			17	23	0	10985	10985	5382								2	0	0	0	65535	65535	65535	Moditemreanimas	Moditemreanimas		
156	item_pierce	156		1	7											1924	2048		7	0	7	0	0		0	0	65535	0	0	0			1					132	19	0	3607	3607	5382								2	0	0	0	65535	65535	65535	ModStr6g	ModStr6g		
157	item_magicarrow	157		1	7											511	1024		7	0	7	0	0		0	0	65535	0	0	0								131	19	0	3608	3608	5382									0	0	0	65535	65535	65535	ModStr6h	ModStr6h		
158	item_explosivearrow	158		1	7											492	1536		7	0	7	0	0		0	0	65535	0	0	0								133	19	0	3609	3609	5382									0	0	0	65535	65535	65535	ModStr6i	ModStr6i		
159	item_throw_mindamage	159		1	6											76	128		6	0	8	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
160	item_throw_maxdamage	160		1	7											88	128		7	0	9	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
161	skill_handofathena	161		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
162	skill_staminapercent	162		1	13																0	0	0		1	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	maxstamina	65535	65535				
163	skill_passive_staminapercent	163		1	12																0	0	0		1	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	maxstamina	65535	65535				
164	skill_concentration	164		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
165	skill_enchant	165		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
166	skill_pierce	166		1	12	16															0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
167	skill_conviction	167		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
168	skill_chillingarmor	168		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
169	skill_frenzy	169		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
170	skill_decrepify	170		1	12																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
171	skill_armor_percent	171		1	16																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
172	alignment	172	1		2																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
173	target0	173			32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
174	target1	174			32																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
175	goldlost	175			24																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
176	conversion_level	176			8																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
177	conversion_maxhp	177			16																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
178	unit_dooverlay	178			16																0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
179	attack_vs_montype	179			9	10										19	14		3	0	9	0	10		0	0	65535	0	0	0			1					108	22	0	10982	10982	5382									0	0	0	65535	65535	65535	ModitemAttratvsM	ModitemAttratvsM		
180	damage_vs_montype	180			9	10										27	17		3	0	9	0	10		0	0	65535	0	0	0			1					106	22	0	10983	10983	5382									0	0	0	65535	65535	65535	Moditemdamvsm	Moditemdamvsm		
181	fade	181	1		7														14	0	3	0	0		0	0	65535	0	0	0								1	19	0	48084	48084	5382									0	0	0	65535	65535	65535	fadeDescription	fadeDescription		
182	armor_override_percent	182	1	1	8														14	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
183	lasthitreactframe	183																	14	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
184	create_season	184																	14	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
185	bonus_mindamage	185		1	12																8	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
186	bonus_maxdamage	186		1	12																8	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
187	item_pierce_cold_immunity	187			10											1432	513				10	0	0		0	0	65535	0	0	0								100	19	0	27339	27339	5382								2	0	0	0	65535	65535	65535	ModItemMonColdSunder	ModItemMonColdSunder		
188	item_addskill_tab	188		1	3	6						1				11042	768		10	0	3	0	16		0	0	65535	0	0	0								151	14	0	10054	10054	5382									0	0	0	65535	65535	65535	StrSklTabItem1	StrSklTabItem1		
189	item_pierce_fire_immunity	189			10											1432	513				10	0	0		0	0	65535	0	0	0								300	19	0	27340	27340	5382								2	0	0	0	65535	65535	65535	ModItemMonFireSunder	ModItemMonFireSunder		
190	item_pierce_light_immunity	190			10											1432	513				10	0	0		0	0	65535	0	0	0								300	19	0	27341	27341	5382								2	0	0	0	65535	65535	65535	ModItemMonLightSunder	ModItemMonLightSunder		
191	item_pierce_poison_immunity	191			10											1432	513				10	0	0		0	0	65535	0	0	0								300	19	0	27342	27342	5382								2	0	0	0	65535	65535	65535	ModItemMonPoisonSunder	ModItemMonPoisonSunder		
192	item_pierce_damage_immunity	192			10											1432	513				10	0	0		0	0	65535	0	0	0								300	19	0	27343	27343	5382								2	0	0	0	65535	65535	65535	ModItemMonPhysicalSunder	ModItemMonPhysicalSunder		
193	item_pierce_magic_immunity	193			10											1432	513				10	0	0		0	0	65535	0	0	0								300	19	0	27344	27344	5382								2	0	0	0	65535	65535	65535	ModItemMonMagicSunder	ModItemMonMagicSunder		
194	item_numsockets	194		1	4											38	170		4	0	4	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
195	item_skillonattack	195		1	7	16						1			2	190	256		21	0	7	0	16		0	0	65535	0	0	0			1	domeleeattack	20	domissileattack	20	160	15	0	21885	21885	5382								2	0	0	0	65535	65535	65535	ItemExpansiveChancX	ItemExpansiveChancX		
196	item_skillonkill	196		1	7	16						1			2	85	19		21	0	7	0	16		0	0	65535	0	0	0			1	kill	20			160	15	0	10996	10996	5382								2	0	0	0	65535	65535	65535	ModitemskonKill	ModitemskonKill		
197	item_skillondeath	197		1	7	16						1			2	11	9		21	0	7	0	16		0	0	65535	0	0	0				killed	30			160	15	0	10994	10994	5382								2	0	0	0	65535	65535	65535	Moditemskondeath	Moditemskondeath		
198	item_skillonhit	198		1	7	16						1			2	190	256		21	0	7	0	16		0	0	65535	0	0	0			1	domeleedamage	20	domissiledamage	20	160	15	0	21886	21886	5382								2	0	0	0	65535	65535	65535	ItemExpansiveChanc1	ItemExpansiveChanc1		
199	item_skillonlevelup	199		1	7	16						1			2	7	6		21	0	7	0	16		0	0	65535	0	0	0				levelup	30			160	15	0	10995	10995	5382								2	0	0	0	65535	65535	65535	ModitemskonLevel	ModitemskonLevel		
200	item_charge_noconsume	200			7											106	256				7	0	0		0	0	65535	0	0	0								298	19	0	27371	27371	5382								2	0	0	0	65535	65535	65535	ModStr6k	ModStr6k		
201	item_skillongethit	201		1	7	16						1			2	190	256		21	0	7	0	16		0	0	65535	0	0	0				damagedinmelee	21	damagedbymissile	21	160	15	0	21887	21887	5382								2	0	0	0	65535	65535	65535	ItemExpansiveChanc2	ItemExpansiveChanc2		
202	modifierlist_castid	202																			0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
203	unused203	203																	21	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
204	item_charged_skill	204		1	30							1			3	401	256		30	0	16	0	16		0	0	65535	0	0	0								3	24	0	21251	21251	5382									0	0	0	65535	65535	65535	ModStre10d	ModStre10d		
205	item_noconsume	205		1	7											106	256				7	0	0		0	0	65535	0	0	0			1					4	19	0	27212	27212	5382								2	0	0	0	65535	65535	65535	ModStr6j	ModStr6j		
206	passive_mastery_replenish_oncrit	206		1	9	16															8	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
208	unused208	208		1	30										3	401	256		30	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
209	unused209	209		1	30										3	401	256		30	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
210	unused210	210		1	30										3	401	256		30	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
211	unused211	211		1	30										3	401	256		30	0	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
212	passive_mastery_gethit_rate	212		1	11	16													8	0	8	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
213	passive_mastery_attack_speed	213		1	11	16													8	0	8	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
214	item_armor_perlevel	214		1	6											43	42		6	0	6	0	0		4	3	level	0	0	0								72	19	0	3481	3481	11091									0	0	0	armorclass	65535	65535	ModStr1i	ModStr1i	increaseswithplaylevelX	
215	item_armorpercent_perlevel	215		1	6											87	100		6	0	6	0	0		5	3	level	0	0	0								73	19	0	3520	3520	11091									0	0	0	armorclass	65535	65535	Modstr2v	Modstr2v	increaseswithplaylevelX	
216	item_hp_perlevel	216		1	6											92	64	8	6	0	6	0	0		2	3	level	0	0	0								57	19	0	3493	3493	11091									0	0	0	maxhp	65535	65535	ModStr1u	ModStr1u	increaseswithplaylevelX	
217	item_mana_perlevel	217		1	6											90	128	8	6	0	6	0	0		2	3	level	0	0	0								53	19	0	3477	3477	11091									0	0	0	maxmana	65535	65535	ModStr1e	ModStr1e	increaseswithplaylevelX	
218	item_maxdamage_perlevel	218		1	6											54	204		6	0	6	0	0		4	3	level	0	0	0			1					125	19	0	3478	3478	11091									0	0	0	maxdamage	secondary_maxdamage	item_throw_maxdamage	ModStr1f	ModStr1f	increaseswithplaylevelX	
219	item_maxdamage_percent_perlevel	219		1	6											86	100		6	0	6	0	0		5	3	level	0	0	0			1					128	19	0	3508	3508	11091									0	0	0	maxdamage	secondary_maxdamage	item_throw_maxdamage	ModStr2j	ModStr2j	increaseswithplaylevelX	
220	item_strength_perlevel	220		1	6											132	128		6	0	6	0	0		2	3	level	0	0	0								66	19	0	3473	3473	11091									0	0	0	strength	65535	65535	ModStr1a	ModStr1a	increaseswithplaylevelX	
221	item_dexterity_perlevel	221		1	6											132	128		6	0	6	0	0		2	3	level	0	0	0								64	19	0	3474	3474	11091									0	0	0	dexterity	65535	65535	ModStr1b	ModStr1b	increaseswithplaylevelX	
222	item_energy_perlevel	222		1	6											105	128		6	0	6	0	0		2	3	level	0	0	0								60	19	0	3476	3476	11091									0	0	0	energy	65535	65535	ModStr1d	ModStr1d	increaseswithplaylevelX	
223	item_vitality_perlevel	223		1	6											105	128		6	0	6	0	0		2	3	level	0	0	0								62	19	0	3475	3475	11091									0	0	0	vitality	65535	65535	ModStr1c	ModStr1c	increaseswithplaylevelX	
224	item_tohit_perlevel	224		1	6											53	20		6	0	6	0	0		2	1	level	0	0	0			1					114	19	0	3480	3480	11091									0	0	0	tohit	65535	65535	ModStr1h	ModStr1h	increaseswithplaylevelX	
225	item_tohitpercent_perlevel	225		1	6											10	256		6	0	6	0	0		2	1	level	0	0	0			1					116	19	0	11035	11035	11091									0	0	0	item_tohit_percent	65535	65535	ModStr4c	ModStr4c	increaseswithplaylevelX	
226	item_cold_damagemax_perlevel	226		1	6											1058	340		6	0	6	0	0		2	3	level	0	0	0			1					94	19	0	3491	3491	11091									0	0	0	coldmaxdam	65535	65535	ModStr1s	ModStr1s	increaseswithplaylevelX	
227	item_fire_damagemax_perlevel	227		1	6											49	128		6	0	6	0	0		2	3	level	0	0	0			1					100	19	0	3487	3487	11091									0	0	0	firemaxdam	65535	65535	ModStr1o	ModStr1o	increaseswithplaylevelX	
228	item_ltng_damagemax_perlevel	228		1	6											49	128		6	0	6	0	0		2	3	level	0	0	0			1					97	19	0	3489	3489	11091									0	0	0	lightmaxdam	65535	65535	ModStr1q	ModStr1q	increaseswithplaylevelX	
229	item_pois_damagemax_perlevel	229		1	6											49	128		6	0	6	0	0		2	3	level	0	0	0			1					90	19	0	3556	3556	11091									0	0	0	poisonmaxdam	65535	65535	ModStr4h	ModStr4h	increaseswithplaylevelX	
230	item_resist_cold_perlevel	230		1	6											101	128		6	0	6	0	0		2	3	level	0	0	0								39	19	0	3483	3483	11091									0	0	0	coldresist	65535	65535	ModStr1k	ModStr1k	increaseswithplaylevelX	
231	item_resist_fire_perlevel	231		1	6											101	128		6	0	6	0	0		2	3	level	0	0	0								35	19	0	3482	3482	11091									0	0	0	fireresist	65535	65535	ModStr1j	ModStr1j	increaseswithplaylevelX	
232	item_resist_ltng_perlevel	232		1	6											101	128		6	0	6	0	0		2	3	level	0	0	0								37	19	0	3484	3484	11091									0	0	0	lightresist	65535	65535	ModStr1l	ModStr1l	increaseswithplaylevelX	
233	item_resist_pois_perlevel	233		1	6											101	128		6	0	6	0	0		2	3	level	0	0	0								33	19	0	3486	3486	11091									0	0	0	poisonresist	65535	65535	ModStr1n	ModStr1n	increaseswithplaylevelX	
234	item_absorb_cold_perlevel	234		1	6											207	340		6	0	6	0	0		2	3	level	0	0	0								32	19	0	10045	10045	11091								2	0	0	0	item_absorbcold	65535	65535	ModStre9p	ModStre9p	increaseswithplaylevelX	
235	item_absorb_fire_perlevel	235		1	6											207	340		6	0	6	0	0		2	3	level	0	0	0								28	19	0	10044	10044	11091								2	0	0	0	item_absorbfire	65535	65535	ModStre9o	ModStre9o	increaseswithplaylevelX	
236	item_absorb_ltng_perlevel	236		1	6											207	340		6	0	6	0	0		2	3	level	0	0	0								30	19	0	10046	10046	11091								2	0	0	0	item_absorblight	65535	65535	ModStre9q	ModStre9q	increaseswithplaylevelX	
237	item_absorb_pois_perlevel	237		1	6											207	340		6	0	6	0	0		2	3	level	0	0	0								0	0	0	5382	5382	5382								2	0	0	0	item_absorbmagic	65535	65535				
238	item_thorns_perlevel	238		1	6											55	256		6	0	5	0	0		2	3	level	0	0	0								12	19	0	3494	3494	11091									0	0	0	item_attackertakesdamage	65535	65535	ModStr1v	ModStr1v	increaseswithplaylevelX	
239	item_find_gold_perlevel	239		1	6											42	256		6	0	6	0	0		2	3	level	0	0	0								9	19	0	11032	11032	11091								2	0	0	0	item_goldbonus	65535	65535	ModStr1w	ModStr1w	increaseswithplaylevelX	
240	item_find_magic_perlevel	240		1	6											814	1024		6	0	6	0	0		2	3	level	0	0	0								7	19	0	11033	11033	11091								2	0	0	0	item_magicbonus	65535	65535	ModStr1x	ModStr1x	increaseswithplaylevelX	
241	item_regenstamina_perlevel	241		1	6											79	256		6	0	6	0	0		2	3	level	0	0	0								47	19	0	3544	3544	11091								2	0	0	0	staminarecoverybonus	65535	65535	ModStr3v	ModStr3v	increaseswithplaylevelX	
242	item_stamina_perlevel	242		1	6											104	64		6	0	6	0	0		2	3	level	0	0	0								50	19	0	10001	10001	11091									0	0	0	maxstamina	65535	65535	ModStr5d	ModStr5d	increaseswithplaylevelX	
243	item_damage_demon_perlevel	243		1	6											56	10		6	0	6	0	0		2	3	level	0	0	0			1					111	19	0	3553	3553	11091								2	0	0	0	item_demondamage_percent	65535	65535	ModStr4e	ModStr4e	increaseswithplaylevelX	
244	item_damage_undead_perlevel	244		1	6											91	10		6	0	6	0	0		2	3	level	0	0	0			1					107	19	0	3554	3554	11091								2	0	0	0	item_undeaddamage_percent	65535	65535	ModStr4f	ModStr4f	increaseswithplaylevelX	
245	item_tohit_demon_perlevel	245		1	6											55	10		6	0	6	0	0		2	1	level	0	0	0			1					109	19	0	3558	3558	11091									0	0	0	item_demon_tohit	65535	65535	ModStr4j	ModStr4j	increaseswithplaylevelX	
246	item_tohit_undead_perlevel	246		1	6											12	10		6	0	6	0	0		2	1	level	0	0	0			1					105	19	0	3559	3559	11091									0	0	0	item_undead_tohit	65535	65535	ModStr4k	ModStr4k	increaseswithplaylevelX	
247	item_crushingblow_perlevel	247		1	6											213	1024		6	0	6	0	0		2	3	level	0	0	0			1					86	19	0	3577	3577	11091								2	0	0	0	item_crushingblow	65535	65535	ModStr5c	ModStr5c	increaseswithplaylevelX	
248	item_openwounds_perlevel	248		1	6											181	128		6	0	6	0	0		2	3	level	0	0	0			1					82	19	0	3537	3537	11091								2	0	0	0	item_openwounds	65535	65535	ModStr3m	ModStr3m	increaseswithplaylevelX	
249	item_kick_damage_perlevel	249		1	6											104	128		6	0	6	0	0		2	3	level	0	0	0			1					120	19	0	3579	3579	11091									0	0	0	item_kickdamage	65535	65535	ModStr5e	ModStr5e	increaseswithplaylevelX	
250	item_deadlystrike_perlevel	250		1	6											118	512		6	0	6	0	0		2	3	level	0	0	0			1					84	19	0	3591	3591	11091								2	0	0	0	item_deadlystrike	65535	65535	ModStr5q	ModStr5q	increaseswithplaylevelX	
251	item_find_gems_perlevel	251		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
252	item_replenish_durability	252		1	6											1024	1		5	0	6	0	0		0	0	65535	0	0	0								3	11	0	21241	21241	5382									0	0	0	65535	65535	65535	ModStre9t	ModStre9t		
253	item_replenish_quantity	253		1	6											1024	1		5	0	6	0	0		0	0	65535	0	0	0								4	19	0	21243	21243	5382									0	0	0	65535	65535	65535	ModStre9v	ModStre9v		
254	item_extra_stack	254		1												99	10		8	0	8	0	0		0	0	65535	0	0	0								5	19	0	21239	21239	5382									0	0	0	65535	65535	65535	ModStre9i	ModStre9i		
255	item_find_item	255		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
256	item_slash_damage	256		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
257	item_slash_damage_percent	257		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
258	item_crush_damage	258		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
259	item_crush_damage_percent	259		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
260	item_thrust_damage	260		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
261	item_thrust_damage_percent	261		1																	0	0	0		0	0	65535	0	0	0			1					0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
262	item_absorb_slash	262		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
263	item_absorb_crush	263		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
264	item_absorb_thrust	264		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
265	item_absorb_slash_percent	265		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
266	item_absorb_crush_percent	266		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
267	item_absorb_thrust_percent	267		1																	0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
268	item_armor_bytime	268		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3481	3481	5382									0	0	0	armorclass	65535	65535	ModStr1i	ModStr1i		
269	item_armorpercent_bytime	269		1	22										4		0		22	0	22	0	0		7	0	65535	0	0	0								180	18	0	3520	3520	5382									0	0	0	armorclass	65535	65535	Modstr2v	Modstr2v		
270	item_hp_bytime	270		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3493	3493	5382									0	0	0	maxhp	65535	65535	ModStr1u	ModStr1u		
271	item_mana_bytime	271		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3477	3477	5382									0	0	0	maxmana	65535	65535	ModStr1e	ModStr1e		
272	item_maxdamage_bytime	272		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3478	3478	5382									0	0	0	maxdamage	secondary_maxdamage	item_throw_maxdamage	ModStr1f	ModStr1f		
273	item_maxdamage_percent_bytime	273		1	22										4		0		22	0	22	0	0		7	0	65535	0	0	0			1					180	18	0	3508	3508	5382									0	0	0	maxdamage	secondary_mindamage	item_throw_mindamage	ModStr2j	ModStr2j		
274	item_strength_bytime	274		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3473	3473	5382									0	0	0	strength	65535	65535	ModStr1a	ModStr1a		
275	item_dexterity_bytime	275		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3474	3474	5382									0	0	0	dexterity	65535	65535	ModStr1b	ModStr1b		
276	item_energy_bytime	276		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3476	3476	5382									0	0	0	energy	65535	65535	ModStr1d	ModStr1d		
277	item_vitality_bytime	277		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	3475	3475	5382									0	0	0	vitality	65535	65535	ModStr1c	ModStr1c		
278	item_tohit_bytime	278		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3480	3480	5382									0	0	0	tohit	65535	65535	ModStr1h	ModStr1h		
279	item_tohitpercent_bytime	279		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	18	0	11035	11035	5382									0	0	0	item_tohit_percent	65535	65535	ModStr4c	ModStr4c		
280	item_cold_damagemax_bytime	280		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3491	3491	5382									0	0	0	coldmaxdam	65535	65535	ModStr1s	ModStr1s		
281	item_fire_damagemax_bytime	281		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3487	3487	5382									0	0	0	firemaxdam	65535	65535	ModStr1o	ModStr1o		
282	item_ltng_damagemax_bytime	282		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3489	3489	5382									0	0	0	lightmaxdam	65535	65535	ModStr1q	ModStr1q		
283	item_pois_damagemax_bytime	283		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3556	3556	5382									0	0	0	poisonmaxdam	65535	65535	ModStr4h	ModStr4h		
284	item_resist_cold_bytime	284		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	3483	3483	5382									0	0	0	coldresist	65535	65535	ModStr1k	ModStr1k		
285	item_resist_fire_bytime	285		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	3482	3482	5382									0	0	0	fireresist	65535	65535	ModStr1j	ModStr1j		
286	item_resist_ltng_bytime	286		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	3484	3484	5382									0	0	0	lightresist	65535	65535	ModStr1l	ModStr1l		
287	item_resist_pois_bytime	287		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	3486	3486	5382									0	0	0	poisonresist	65535	65535	ModStr1n	ModStr1n		
288	item_absorb_cold_bytime	288		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	10045	10045	5382								2	0	0	0	item_absorbcold	65535	65535	ModStre9p	ModStre9p		
289	item_absorb_fire_bytime	289		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	10044	10044	5382								2	0	0	0	item_absorbfire	65535	65535	ModStre9o	ModStre9o		
290	item_absorb_ltng_bytime	290		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	10046	10046	5382								2	0	0	0	item_absorblight	65535	65535	ModStre9q	ModStre9q		
291	item_absorb_pois_bytime	291		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								0	0	0	5382	5382	5382								2	0	0	0	item_absorbmagic	65535	65535				
292	item_find_gold_bytime	292		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	11032	11032	5382									0	0	0	item_goldbonus	65535	65535	ModStr1w	ModStr1w		
293	item_find_magic_bytime	293		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	11033	11033	5382									0	0	0	item_magicbonus	65535	65535	ModStr1x	ModStr1x		
294	item_regenstamina_bytime	294		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	18	0	3544	3544	5382									0	0	0	staminarecoverybonus	65535	65535	ModStr3v	ModStr3v		
295	item_stamina_bytime	295		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0								180	17	0	10001	10001	5382									0	0	0	maxstamina	65535	65535	ModStr5d	ModStr5d		
296	item_damage_demon_bytime	296		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	18	0	3553	3553	5382									0	0	0	item_demondamage_percent	65535	65535	ModStr4e	ModStr4e		
297	item_damage_undead_bytime	297		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	18	0	3554	3554	5382									0	0	0	item_undeaddamage_percent	65535	65535	ModStr4f	ModStr4f		
298	item_tohit_demon_bytime	298		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3558	3558	5382									0	0	0	item_demon_tohit	65535	65535	ModStr4j	ModStr4j		
299	item_tohit_undead_bytime	299		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	17	0	3559	3559	5382									0	0	0	item_undead_tohit	65535	65535	ModStr4k	ModStr4k		
300	item_crushingblow_bytime	300		1	22										4		0		22	0	22	0	0		6	0	65535	0	0	0			1					180	18	0	3577	3577	5382									0	0	0	item_crushingblow	65535	65535	ModStr5c	ModStr5c		
