INDEX	Name	___ Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add	code	mod1code__STR	mod1param__STR	mod2code__STR	mod2param__STR	mod3code__STR	mod3param__STR	itype1__STR	itype2__STR	itype3__STR	itype4__STR	itype5__STR	itype6__STR	itype7__STR	etype1__STR	etype2__STR	etype3__STR	etype4__STR	etype5__STR	
104	of the Lamprey	#% Life stolen per hit	100	1	1	55		43				84	27	66	0	8	9	-1	0	0	0	-1	0	0	0	cred	46	0	0	0	0	0	0	68	0	0	0	0	0	0	of the Lamprey	lifesteal	0		0		0	mele							orb					
105	of the Leech	#% Life stolen per hit	100	1	1	14		10				48	27	66	0	3	4	-1	0	0	0	-1	0	0	0		10	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Leech	lifesteal	0		0		0	ring	circ											
106	of the Locust	#% Life stolen per hit	100	1	1	47		35				48	27	66	0	5	6	-1	0	0	0	-1	0	0	0		10	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Locust	lifesteal	0		0		0	ring	circ											
107	of the Lamprey	#% Life stolen per hit	100	1	1	77		65				48	27	66	0	7	8	-1	0	0	0	-1	0	0	0	cred	10	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Lamprey	lifesteal	0		0		0	ring	circ											
108	of the Leech	#% Life stolen per hit	100	1	1	34		26				48	27	66	0	3	3	-1	0	0	0	-1	0	0	0	cred	16	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Leech	lifesteal	0		0		0	glov												
109	of the Leech	#% Life stolen per hit	100	1	1	24		20				24	27	66	0	2	3	-1	0	0	0	-1	0	0	0		12	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Leech	lifesteal	0		0		0	amul												
110	of the Locust	#% Life stolen per hit	100	1	1	57		45				24	27	66	0	4	5	-1	0	0	0	-1	0	0	0		12	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Locust	lifesteal	0		0		0	amul												
111	of the Lamprey	#% Life stolen per hit	100	1	1	85		73				24	27	66	0	6	6	-1	0	0	0	-1	0	0	0	cred	12	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Lamprey	lifesteal	0		0		0	amul												
112	of the Bat	#% Mana stolen per hit	100	1	1	7		4				84	28	65	0	4	5	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	68	0	0	0	0	0	0	of the Bat	manasteal	0		0		0	weap							orb					
113	of the Wraith	#% Mana stolen per hit	100	1	1	21		16				84	28	65	0	6	7	-1	0	0	0	-1	0	0	0	cred	45	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Wraith	manasteal	0		0		0	weap												
114	of the Vampire	#% Mana stolen per hit	100	1	1	56		48				84	28	65	0	8	9	-1	0	0	0	-1	0	0	0	cred	46	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Vampire	manasteal	0		0		0	mele												
115	of the Bat	#% Mana stolen per hit	100	1	1	15		11				48	28	65	0	3	4	-1	0	0	0	-1	0	0	0		12	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Bat	manasteal	0		0		0	amul	circ											
116	of the Wraith	#% Mana stolen per hit	100	1	1	58		40				48	28	65	0	5	6	-1	0	0	0	-1	0	0	0		12	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Wraith	manasteal	0		0		0	amul	circ											
117	of the Vampire	#% Mana stolen per hit	100	1	1	78		66				48	28	65	0	7	8	-1	0	0	0	-1	0	0	0	cred	12	75	0	0	0	0	0	0	0	0	0	0	0	0	of the Vampire	manasteal	0		0		0	amul	circ											
118	of the Bat	#% Mana stolen per hit	100	1	1	35		27				48	28	65	0	3	3	-1	0	0	0	-1	0	0	0	cred	16	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Bat	manasteal	0		0		0	glov												
119	of the Bat	#% Mana stolen per hit	100	1	1	25		21				24	28	65	0	2	3	-1	0	0	0	-1	0	0	0		10	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Bat	manasteal	0		0		0	ring												
120	of the Wraith	#% Mana stolen per hit	100	1	1	58		46				24	28	65	0	4	5	-1	0	0	0	-1	0	0	0		10	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Wraith	manasteal	0		0		0	ring												
121	of the Vampire	#% Mana stolen per hit	100	1	1	86		74				24	28	65	0	6	8	-1	0	0	0	-1	0	0	0	cred	10	0	0	0	0	0	0	0	0	0	0	0	0	0	of the Vampire	manasteal	0		0		0	ring												
122	of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	44		38				12	60	65	0	3	5	66	0	5	7	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of the Lich	manasteal	0	lifesteal	0		0	ring	amul											
123	of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	66		60				12	60	65	0	6	7	66	0	8	9	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of the Lich	manasteal	0	lifesteal	0		0	ring	amul											
124	of the Lich	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	87		84				12	60	65	0	8	9	66	0	10	12	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of the Lich	manasteal	0	lifesteal	0		0	ring	amul											
125	of Health	Damage Reduced by #	100	1	1	7	20	5				48	1	3	0	1	1	-1	0	0	0	-1	0	0	0		3	51	10	12	75	0	0	0	0	0	0	0	0	0	of Health	red-dmg	0		0		0	tors	shld	ring	amul	circ								
126	of Protection	Damage Reduced by #	100	1	1	18	40	13				48	1	3	0	2	2	-1	0	0	0	-1	0	0	0		10	12	75	0	0	0	0	0	0	0	0	0	0	0	of Protection	red-dmg	0		0		0	ring	amul	circ										
127	of Absorption	Damage Reduced by #	100	1	1	26	50	19				48	1	3	0	3	5	-1	0	0	0	-1	0	0	0		12	75	10	0	0	0	0	0	0	0	0	0	0	0	of Absorption	red-dmg	0		0		0	amul	circ	ring										
128	of Life	Damage Reduced by #	100	1	1	35		26				48	1	3	0	6	10	-1	0	0	0	-1	0	0	0	dblu	12	75	10	0	0	0	0	0	0	0	0	0	0	0	of Life	red-dmg	0		0		0	amul	circ	ring										
129	of Life Everlasting	Damage Reduced by #	100	1	1	45		37				48	1	3	0	10	25	-1	0	0	0	-1	0	0	0		12	75	0	0	0	0	0	0	0	0	0	0	0	0	of Life Everlasting	red-dmg	0		0		0	amul	circ											
130	of Protection	Damage Reduced by #	100	1	1	24	25	18				48	1	3	0	2	3	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Protection	red-dmg	0		0		0	tors	shld	circ										
131	of Absorption	Damage Reduced by #	100	1	1	32	55	24				48	1	3	0	4	5	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Absorption	red-dmg	0		0		0	tors	shld	circ										
132	of Life	Damage Reduced by #	100	1	1	41		33				48	1	3	0	6	7	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Life	red-dmg	0		0		0	tors	shld	circ										
133	of Anima	Damage Reduced by #	100	1	1	51		43				48	1	3	0	8	15	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Anima	red-dmg	0		0		0	tors	shld	circ										
134	of Warding	Magic Damage Reduced by #	100	1	1	7	25	5				48	2	6	0	1	2	-1	0	0	0	-1	0	0	0		3	51	10	12	68	75	0	0	0	0	0	0	0	0	of Warding	red-mag	0		0		0	tors	shld	ring	amul	orb	circ							
135	of the Sentinel	Magic Damage Reduced by #	100	1	1	18		12				48	2	6	0	3	4	-1	0	0	0	-1	0	0	0		10	12	68	75	0	0	0	0	0	0	0	0	0	0	of the Sentinel	red-mag	0		0		0	ring	amul	orb	circ									
136	of Guarding	Magic Damage Reduced by #	100	1	1	26		19				48	2	6	0	5	6	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Guarding	red-mag	0		0		0	amul	orb	circ	ring									
137	of Negation	Magic Damage Reduced by #	100	1	1	42		35				48	2	6	0	7	8	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Negation	red-mag	0		0		0	amul	orb	circ	ring									
138	of the Sentinel	Magic Damage Reduced by #	100	1	1	24	40	18				48	2	6	0	2	4	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of the Sentinel	red-mag	0		0		0	tors	shld	circ										
139	of Guarding	Magic Damage Reduced by #	100	1	1	32		24				48	2	6	0	5	8	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Guarding	red-mag	0		0		0	tors	shld	circ										
140	of Negation	Magic Damage Reduced by #	100	1	1	41		33				48	2	6	0	9	15	-1	0	0	0	-1	0	0	0		3	51	75	0	0	0	0	0	0	0	0	0	0	0	of Negation	red-mag	0		0		0	tors	shld	circ										
141	of Warding	Magic Resist +#%	100	1	1	26	37	19				48	2	37	0	2	5	-1	0	0	0	-1	0	0	0		3	51	10	12	68	75	0	0	0	0	0	0	0	0	of Warding	res-mag	0		0		0	tors	shld	ring	amul	orb	circ							
142	of the Sentinel	Magic Resist +#%	100	1	1	42		31				48	2	37	0	6	9	-1	0	0	0	-1	0	0	0		10	12	68	75	3	51	0	0	0	0	0	0	0	0	of the Sentinel	res-mag	0		0		0	ring	amul	orb	circ	tors	shld							
143	of Guarding	Magic Resist +#%	100	1	1	66		53				48	2	37	0	10	13	-1	0	0	0	-1	0	0	0		12	68	75	3	51	0	0	0	0	0	0	0	0	0	of Guarding	res-mag	0		0		0	amul	orb	circ	tors	shld								
144	of Negation	Magic Resist +#%	100	1	1	84		72				48	2	37	0	14	20	-1	0	0	0	-1	0	0	0		51	68	75	3	0	0	0	0	0	0	0	0	0	0	of Negation	res-mag	0		0		0	shld	orb	circ	tors									
145	of Coolness	Fire Absorb #%	100	1	1	11	35	8				12	3	44	0	2	3	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Coolness	abs-fire	0		0		0	tors	shld	boot	circ									
146	of Incombustibility	Fire Absorb #%	100	1	1	19	70	17				12	3	44	0	4	6	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Incombustibility	abs-fire	0		0		0	tors	shld	boot	circ									
147	of Amianthus	Fire Absorb #%	100	1	1	35		29				12	3	44	0	7	9	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Amianthus	abs-fire	0		0		0	tors	shld	boot	circ									
148	of Fire Quenching	Fire Absorb #%	100	1	1	50		47				12	3	44	0	10	15	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Fire Quenching	abs-fire	0		0		0	tors	shld	boot	circ									
149	of Coolness	Fire Absorb #%	100	1	1	13		9				12	3	44	0	1	2	-1	0	0	0	-1	0	0	0		10	12	68	75	0	0	0	0	0	0	0	0	0	0	of Coolness	abs-fire	0		0		0	ring	amul	orb	circ									
150	of Incombustibility	Fire Absorb #%	100	1	1	22		16				12	3	44	0	3	4	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Incombustibility	abs-fire	0		0		0	amul	orb	circ	ring									
151	of Amianthus	Fire Absorb #%	100	1	1	33		25				12	3	44	0	5	6	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Amianthus	abs-fire	0		0		0	amul	orb	circ	ring									
152	of Fire Quenching	Fire Absorb #%	100	1	1	46		38				12	3	44	0	8	10	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Fire Quenching	abs-fire	0		0		0	amul	orb	circ	ring									
153	of Faith	Fire Absorb #%	100	1	1	23		17				12	3	44	0	2	3	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Faith	abs-fire	0		0		0	jewl												
154	of Faith	Fire Absorb #%	100	1	1	56		50				12	3	44	0	4	7	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Faith	abs-fire	0		0		0	jewl												
155	of Fire Coalescence1	+# Fire Absorb	100	1	1	33		29				12	3	43	0	3	7	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Fire Coalescence1	abs-fire%	0		0		0	weap	amul	ring	shld									
156	of Fire Coalescence1	+# Fire Absorb	100	1	1	66		54				12	3	43	0	8	15	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Fire Coalescence1	abs-fire%	0		0		0	weap	amul	ring	shld									
157	of Fire Coalescence1	+# Fire Absorb	100	1	1	87		80				12	3	43	0	16	25	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Fire Coalescence1	abs-fire%	0		0		0	weap	amul	ring	shld									
158	of Resistance	Lightning Absorb #%	100	1	1	11	35	8				12	3	46	0	2	3	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Resistance	abs-ltng	0		0		0	tors	shld	boot	circ									
159	of Insulation	Lightning Absorb #%	100	1	1	19	70	14				12	3	46	0	4	6	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Insulation	abs-ltng	0		0		0	tors	shld	boot	circ									
160	of Grounding	Lightning Absorb #%	100	1	1	35		29				12	3	46	0	7	9	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Grounding	abs-ltng	0		0		0	tors	shld	boot	circ									
161	of the Dynamo	Lightning Absorb #%	100	1	1	50		47				12	3	46	0	10	15	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of the Dynamo	abs-ltng	0		0		0	tors	shld	boot	circ									
162	of Resistance	Lightning Absorb #%	100	1	1	13		9				12	3	46	0	1	2	-1	0	0	0	-1	0	0	0		10	12	68	75	0	0	0	0	0	0	0	0	0	0	of Resistance	abs-ltng	0		0		0	ring	amul	orb	circ									
163	of Insulation	Lightning Absorb #%	100	1	1	22		16				12	3	46	0	3	4	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Insulation	abs-ltng	0		0		0	amul	orb	circ	ring									
164	of Grounding	Lightning Absorb #%	100	1	1	33		25				12	3	46	0	5	6	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Grounding	abs-ltng	0		0		0	amul	orb	circ	ring									
165	of the Dynamo	Lightning Absorb #%	100	1	1	46		38				12	3	46	0	8	10	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of the Dynamo	abs-ltng	0		0		0	amul	orb	circ	ring									
166	of Stoicism	Lightning Absorb #%	100	1	1	22		16				12	3	46	0	2	3	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Stoicism	abs-ltng	0		0		0	jewl												
167	of Stoicism	Lightning Absorb #%	100	1	1	56		50				12	3	46	0	4	7	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Stoicism	abs-ltng	0		0		0	jewl												
168	of Lightning Coalescence1	+# Lightning Absorb	100	1	1	33		29				12	3	45	0	3	7	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Lightning Coalescence1	abs-ltng%	0		0		0	weap	amul	ring	shld									
169	of Lightning Coalescence1	+# Lightning Absorb	100	1	1	66		54				12	3	45	0	8	15	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Lightning Coalescence1	abs-ltng%	0		0		0	weap	amul	ring	shld									
170	of Lightning Coalescence1	+# Lightning Absorb	100	1	1	87		80				12	3	45	0	16	25	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Lightning Coalescence1	abs-ltng%	0		0		0	weap	amul	ring	shld									
171	of Warming	Cold Absorb #%	100	1	1	11	35	8				12	3	50	0	2	3	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Warming	abs-cold	0		0		0	tors	shld	boot	circ									
172	of Thawing	Cold Absorb #%	100	1	1	19	70	14				12	3	50	0	4	6	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of Thawing	abs-cold	0		0		0	tors	shld	boot	circ									
173	of the Dunes	Cold Absorb #%	100	1	1	35		29				12	3	50	0	7	9	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of the Dunes	abs-cold	0		0		0	tors	shld	boot	circ									
174	of the Sirocco	Cold Absorb #%	100	1	1	50		47				12	3	50	0	10	15	-1	0	0	0	-1	0	0	0		3	51	15	75	0	0	0	0	0	0	0	0	0	0	of the Sirocco	abs-cold	0		0		0	tors	shld	boot	circ									
175	of Warming	Cold Absorb #%	100	1	1	13		9				12	3	50	0	1	2	-1	0	0	0	-1	0	0	0		10	12	68	75	0	0	0	0	0	0	0	0	0	0	of Warming	abs-cold	0		0		0	ring	amul	orb	circ									
176	of Thawing	Cold Absorb #%	100	1	1	22		16				12	3	50	0	3	4	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of Thawing	abs-cold	0		0		0	amul	orb	circ	ring									
177	of the Dunes	Cold Absorb #%	100	1	1	33		25				12	3	50	0	5	6	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of the Dunes	abs-cold	0		0		0	amul	orb	circ	ring									
178	of the Sirocco	Cold Absorb #%	100	1	1	46		38				12	3	50	0	8	10	-1	0	0	0	-1	0	0	0		12	68	75	10	0	0	0	0	0	0	0	0	0	0	of the Sirocco	abs-cold	0		0		0	amul	orb	circ	ring									
179	of Desire	Cold Absorb #%	100	1	1	23		17				12	3	50	0	2	3	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Desire	abs-cold	0		0		0	jewl												
180	of Desire	Cold Absorb #%	100	1	1	56		50				12	3	50	0	4	7	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Desire	abs-cold	0		0		0	jewl												
181	of Chilling Coalescence1	+# Cold Absorb	100	1	1	33		29				12	3	49	0	3	7	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Chilling Coalescence1	abs-cold%	0		0		0	weap	amul	ring	shld									
182	of Chilling Coalescence1	+# Cold Absorb	100	1	1	66		54				12	3	49	0	8	15	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Chilling Coalescence1	abs-cold%	0		0		0	weap	amul	ring	shld									
183	of Chilling Coalescence1	+# Cold Absorb	100	1	1	87		80				12	3	49	0	16	25	-1	0	0	0	-1	0	0	0		45	12	10	51	0	0	0	0	0	0	0	0	0	0	of Chilling Coalescence1	abs-cold%	0		0		0	weap	amul	ring	shld									
184	of the Yeti	Cold Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	153	4	0	0	-1	0	0	0	-1	0	0	0	lblu	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Yeti	res-cold/lvl		0		0	armo	ring	amul										
185	of the Yeti	Cold Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	153	6	0	0	-1	0	0	0	-1	0	0	0	lblu	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Yeti	res-cold/lvl		0		0	armo	ring	amul										
186	of the Phoenix	Fire Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	154	4	0	0	-1	0	0	0	-1	0	0	0	cred	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Phoenix	res-fire/lvl		0		0	armo	ring	amul										
187	of the Phoenix	Fire Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	154	6	0	0	-1	0	0	0	-1	0	0	0	cred	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Phoenix	res-fire/lvl		0		0	armo	ring	amul										
188	of the Efreeti	Lightning Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	155	4	0	0	-1	0	0	0	-1	0	0	0	cblu	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Efreeti	res-ltng/lvl		0		0	armo	ring	amul										
189	of the Efreeti	Lightning Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	155	6	0	0	-1	0	0	0	-1	0	0	0	cblu	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Efreeti	res-ltng/lvl		0		0	armo	ring	amul										
190	of the Cobra	Poison Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	156	4	0	0	-1	0	0	0	-1	0	0	0	dyel	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Cobra	res-pois/lvl		0		0	armo	ring	amul										
191	of the Cobra	Poison Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	156	6	0	0	-1	0	0	0	-1	0	0	0	dyel	50	10	12	0	0	0	0	0	0	0	0	0	0	0	of the Cobra	res-pois/lvl		0		0	armo	ring	amul										
192	of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	1		1				24	43	153	2	0	0	154	2	0	0	155	2	0	0	dgld	75	51	0	0	0	0	0	0	0	0	0	0	0	0	of the Elements	res-cold/lvl	res-fire/lvl	res-ltng/lvl	circ	shld											
193	of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	44		41				24	43	153	4	0	0	154	4	0	0	155	4	0	0	dgld	75	51	0	0	0	0	0	0	0	0	0	0	0	0	of the Elements	res-cold/lvl	res-fire/lvl	res-ltng/lvl	circ	shld											
194	of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	77		71				24	43	153	5	0	0	154	5	0	0	155	5	0	0	dgld	75	51	0	0	0	0	0	0	0	0	0	0	0	0	of the Elements	res-cold/lvl	res-fire/lvl	res-ltng/lvl	circ	shld											
195	of Winter2	+#% to Maximum Cold Resist	100	1	1	54		45				24	67	36	0	1	10	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of Winter2	res-cold-max	0		0		0	armo	shld	ring	amul									
196	of Summer2	+#% to Maximum Fire Resist	100	1	1	54		45				24	67	32	0	1	10	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of Summer2	res-fire-max	0		0		0	armo	shld	ring	amul									
197	of Spring2	+#% to Maximum Lightning Resist	100	1	1	54		45				24	67	34	0	1	10	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of Spring2	res-ltng-max	0		0		0	armo	shld	ring	amul									
198	of Autumn2	+#% to Maximum Poison Resist	100	1	1	54		45				24	67	40	0	1	10	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of Autumn2	res-pois-max	0		0		0	armo	shld	ring	amul									
199	of the Four Seasons2	#% All Maximum Resistances	100	1	1	68		58				24	67	42	0	1	3	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of the Four Seasons2	res-all-max	0		0		0	armo	shld	ring	amul									
200	of the Four Seasons2	#% All Maximum Resistances	100	1	1	87		75				12	67	42	0	4	6	-1	0	0	0	-1	0	0	0		50	51	10	12	0	0	0	0	0	0	0	0	0	0	of the Four Seasons2	res-all-max	0		0		0	armo	shld	ring	amul									
201	of Dexterity	+# to Dexterity	100	1	1	1	20	1				48	17	8	0	1	2	-1	0	0	0	-1	0	0	0		12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Dexterity	dex	0		0		0	amul	miss	circ										
202	of Skill	+# to Dexterity	100	1	1	11	40	8				36	17	8	0	3	5	-1	0	0	0	-1	0	0	0		12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Skill	dex	0		0		0	amul	miss	circ										
203	of Accuracy	+# to Dexterity	100	1	1	27	55	20				36	17	8	0	6	9	-1	0	0	0	-1	0	0	0		12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Accuracy	dex	0		0		0	amul	miss	circ										
204	of Precision	+# to Dexterity	100	1	1	43	75	35				36	17	8	0	10	15	-1	0	0	0	-1	0	0	0		12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Precision	dex	0		0		0	amul	miss	circ										
205	of Perfection	+# to Dexterity	100	1	1	59		51				36	17	8	0	16	20	-1	0	0	0	-1	0	0	0	dgld	12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Perfection	dex	0		0		0	amul	miss	circ										
206	of Nirvana	+# to Dexterity	100	1	1	72		64				36	17	8	0	21	30	-1	0	0	0	-1	0	0	0	dgld	12	47	75	0	0	0	0	0	0	0	0	0	0	0	of Nirvana	dex	0		0		0	amul	miss	circ										
207	of Dexterity	+# to Dexterity	100	1	1	6	30	4				48	17	8	0	1	2	-1	0	0	0	-1	0	0	0		10	16	0	0	0	0	0	0	0	0	0	0	0	0	of Dexterity	dex	0		0		0	ring	glov											
208	of Skill	+# to Dexterity	100	1	1	22	50	16				36	17	8	0	3	5	-1	0	0	0	-1	0	0	0		10	16	0	0	0	0	0	0	0	0	0	0	0	0	of Skill	dex	0		0		0	ring	glov											
209	of Accuracy	+# to Dexterity	100	1	1	39	70	31				36	17	8	0	6	9	-1	0	0	0	-1	0	0	0		10	16	0	0	0	0	0	0	0	0	0	0	0	0	of Accuracy	dex	0		0		0	ring	glov											
210	of Precision	+# to Dexterity	100	1	1	56		48				36	17	8	0	10	15	-1	0	0	0	-1	0	0	0		10	16	0	0	0	0	0	0	0	0	0	0	0	0	of Precision	dex	0		0		0	ring	glov											
211	of Perfection	+# to Dexterity	100	1	1	75		67				36	17	8	0	16	20	-1	0	0	0	-1	0	0	0	dgld	10	16	0	0	0	0	0	0	0	0	0	0	0	0	of Perfection	dex	0		0		0	ring	glov											
212	of Dexterity	+# to Dexterity	100	1	1	13	35	9				36	17	8	0	2	3	-1	0	0	0	-1	0	0	0		3	15	0	0	0	0	0	16	0	0	0	0	0	0	of Dexterity	dex	0		0		0	tors	boot						glov					
213	of Skill	+# to Dexterity	100	1	1	34	55	26				36	17	8	0	4	5	-1	0	0	0	-1	0	0	0		3	15	0	0	0	0	0	16	0	0	0	0	0	0	of Skill	dex	0		0		0	tors	boot						glov					
214	of Accuracy	+# to Dexterity	100	1	1	46	75	38				36	17	8	0	6	9	-1	0	0	0	-1	0	0	0		3	15	0	0	0	0	0	16	0	0	0	0	0	0	of Accuracy	dex	0		0		0	tors	boot						glov					
215	of Precision	+# to Dexterity	100	1	1	60		52				36	17	8	0	10	15	-1	0	0	0	-1	0	0	0	dgld	3	15	0	0	0	0	0	16	0	0	0	0	0	0	of Precision	dex	0		0		0	tors	boot						glov					
216	of Daring	+# to Dexterity	100	1	1	7		5				48	17	8	0	1	5	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Daring	dex	0		0		0	jewl												
217	of Daring	+# to Dexterity	100	1	1	19		14				48	17	8	0	4	6	-1	0	0	0	-1	0	0	0		58	0	0	0	0	0	0	0	0	0	0	0	0	0	of Daring	dex	0		0		0	jewl												
